NAME, HP, ATK, DEF, SPE, SPA, SPD, EXP
VENONAT, 60, 55, 50, 45, 40, 55, 61
VENOMOTH, 70, 65, 60, 90, 90, 75, 158
DIGLETT, 10, 55, 25, 95, 35, 45, 53
DUGTRIO, 35, 80, 55, 120, 50, 70, 142
MEOWTH, 40, 45, 35, 90, 40, 40, 58
PERSIAN, 65, 70, 60, 115, 65, 65, 154
PSYDUCK, 50, 52, 48, 55, 65, 50, 64
GOLDUCK, 80, 82, 78, 85, 95, 80, 175
MANKEY, 40, 80, 35, 70, 35, 45, 61
PRIMEAPE, 65, 105, 60, 95, 60, 70, 159
GROWLITHE, 55, 70, 45, 60, 70, 50, 70
ARCANINE, 90, 110, 80, 95, 100, 80, 194
POLIWAG, 40, 50, 40, 90, 40, 40, 60
POLIWHIRL, 65, 65, 65, 90, 50, 50, 135
POLIWRATH, 90, 85, 95, 70, 70, 90, 225
ABRA, 25, 20, 15, 90, 105, 55, 62
KADABRA, 40, 35, 30, 105, 120, 70, 140
ALAKAZAM, 55, 50, 45, 120, 135, 85, 221
MACHOP, 70, 80, 50, 35, 35, 35, 61
MACHOKE, 80, 100, 70, 45, 50, 60, 142
MACHAMP, 90, 130, 80, 55, 65, 85, 227
BELLSPROUT, 50, 75, 35, 40, 70, 30, 60
WEEPINBELL, 65, 90, 50, 55, 85, 45, 137
VICTREEBEL, 80, 105, 65, 70, 100, 60, 216
TENTACOOL, 40, 40, 35, 70, 50, 100, 67
TENTACRUEL, 80, 70, 65, 100, 80, 120, 180
GEODUDE, 40, 80, 100, 20, 30, 30, 60
GRAVELER, 55, 95, 115, 35, 45, 45, 137
GOLEM, 80, 110, 130, 45, 55, 65, 218
PONYTA, 50, 85, 55, 90, 65, 65, 82
RAPIDASH, 65, 100, 70, 105, 80, 80, 175
SLOWPOKE, 90, 65, 65, 15, 40, 40, 63
SLOWBRO, 95, 75, 110, 30, 100, 80, 172
MAGNEMITE, 25, 35, 70, 45, 95, 55, 65
MAGNETON, 50, 60, 95, 70, 120, 70, 163
FARFETCH'D, 52, 65, 55, 60, 58, 62, 123
DODUO, 35, 85, 45, 75, 35, 35, 62
DODRIO, 60, 110, 70, 100, 60, 60, 161
SEEL, 65, 45, 55, 45, 45, 70, 65
DEWGONG, 90, 70, 80, 70, 70, 95, 166
GRIMER, 80, 80, 50, 25, 40, 50, 65
MUK, 105, 105, 75, 50, 65, 100, 175
SHELLDER, 30, 65, 100, 40, 45, 25, 61
CLOYSTER, 50, 95, 180, 70, 85, 45, 184
GASTLY, 30, 35, 30, 80, 100, 35, 62
HAUNTER, 45, 50, 45, 95, 115, 55, 142
GENGAR, 60, 65, 60, 110, 130, 75, 225
ONIX, 35, 45, 160, 70, 30, 45, 77
DROWZEE, 60, 48, 45, 42, 43, 90, 66
HYPNO, 85, 73, 70, 67, 73, 115, 169
KRABBY, 30, 105, 90, 50, 25, 25, 65
KINGLER, 55, 130, 115, 75, 50, 50, 166
VOLTORB, 40, 30, 50, 100, 55, 55, 66
ELECTRODE, 60, 50, 70, 140, 80, 80, 168
EXEGGCUTE, 60, 40, 80, 40, 60, 45, 65
EXEGGUTOR, 95, 95, 85, 55, 125, 65, 182
CUBONE, 50, 50, 95, 35, 40, 50, 64
MAROWAK, 60, 80, 110, 45, 50, 80, 149
HITMONLEE, 50, 120, 53, 87, 35, 110, 159
HITMONCHAN, 50, 105, 79, 76, 35, 110, 159
LICKITUNG, 90, 55, 75, 30, 60, 75, 77
KOFFING, 40, 65, 95, 35, 60, 45, 68
WEEZING, 65, 90, 129, 60, 85, 70, 172
RHYHORN, 80, 85, 95, 25, 30, 30, 69
RHYDON, 105, 130, 120, 40, 45, 45, 69
CHANSEY, 250, 5, 5, 50, 35, 105, 395
TANGELA, 65, 55, 115, 60, 100, 40, 87
KANGASKHAN, 105, 95, 80, 90, 40, 80, 172
HORSEA, 30, 40, 70, 60, 70, 25, 59
SEADRA, 55, 65, 95, 85, 95, 45, 154
GOLDEEN, 45, 67, 60, 63, 35, 50, 64
SEAKING, 80, 92, 65, 68, 65, 80, 158
STARYU, 30, 45, 55, 85, 70, 55, 68
STARMIE, 60, 75, 85, 115, 100, 85, 182
MR.MIME, 40, 45, 65, 90, 100, 120, 161
SCYTHER, 70, 110, 80, 105, 55, 80, 100
JYNX, 65, 50, 35, 95, 115, 95, 159
ELECTABUZZ, 65, 83, 57, 105, 95, 85, 172
MAGMAR, 65, 95, 57, 93, 100, 85, 173
PINSIR, 65, 125, 100, 85, 55, 70, 175
TAUROS, 75, 100, 95, 110, 40, 70, 172
MAGIKARP, 20, 10, 55, 80, 15, 20, 40
GYARADOS, 95, 125, 79, 81, 60, 100, 189
LAPRAS, 130, 85, 80, 60, 85, 95, 187
DITTO, 48, 48, 48, 48, 48, 48, 101
EEVEE, 55, 55, 50, 55, 45, 65, 65
VAPOREON, 130, 65, 60, 65, 110, 95, 184
JOLTEON, 65, 65, 60, 130, 110, 95, 184
FLAREON, 65, 130, 60, 65, 95, 110, 184
PORYGON, 65, 60, 70, 40, 85, 75, 79
OMANYTE, 35, 40, 100, 35, 90, 35, 71
OMASTAR, 70, 60, 125, 55, 115, 70, 173
KABUTO, 30, 80, 90, 55, 55, 45, 71
KABUTOPS, 60, 115, 105, 80, 65, 70, 173
AERODACTYL, 80, 105, 95, 130, 60, 75, 180
SNORLAX, 160, 110, 65, 30, 65, 110, 189
ARTICUNO, 90, 85, 100, 85, 95, 125, 261
ZAPDOS, 90, 90, 85, 100, 125, 90, 261
MOLTRES, 90, 100, 90, 90, 125, 85, 261
DRATINI, 41, 64, 45, 50, 50, 50, 60
DRAGONAIR, 61, 84, 65, 70, 70, 70, 147
DRAGONITE, 91, 134, 95, 80, 100, 100, 270
MEWTWO, 106, 110, 90, 130, 154, 90, 306
MEW, 100, 100, 100, 100, 100, 100, 270
CHIKORITA, 45, 49, 65, 45, 49, 65, 64
BAYLEEF, 60, 62, 80, 60, 63, 80, 142
MEGANIUM, 80, 82, 100, 80, 83, 100, 236
CYNDAQUIL, 39, 52, 43, 65, 60, 50, 62
QUILAVA, 58, 64, 58, 80, 80, 65, 142
TYPHLOSION, 78, 84, 78, 100, 109, 85, 240
TOTODILE, 50, 65, 64, 43, 44, 48, 63
CROCONAW, 65, 80, 80, 58, 59, 63, 142
FERALIGATR, 85, 105, 100, 78, 79, 83, 239
SENTRET, 35, 46, 34, 20, 35, 45, 43
FURRET, 85, 76, 64, 90, 45, 55, 145
HOOTHOOT, 60, 30, 30, 50, 36, 56, 52
NOCTOWL, 100, 50, 50, 70, 76, 96, 155
LEDYBA, 40, 20, 30, 55, 40, 80, 53
LEDIAN, 55, 35, 50, 85, 55, 110, 137
SPINARAK, 40, 60, 40, 30, 40, 40, 50
ARIADOS, 70, 90, 70, 40, 60, 60, 137
CROBAT, 85, 90, 80, 130, 70, 80, 241
CHINCHOU, 75, 38, 38, 67, 56, 56, 66
LANTURN, 125, 58, 58, 67, 76, 76, 161
PICHU, 20, 40, 15, 60, 35, 35, 41
CLEFFA, 50, 25, 28, 15, 45, 55, 44
IGGLYBUFF, 90, 30, 15, 15, 40, 20, 42
TOGEPI, 35, 20, 65, 20, 40, 65, 49
TOGETIC, 55, 40, 85, 40, 80, 105, 142
NATU, 40, 50, 45, 70, 70, 45, 64
XATU, 65, 75, 70, 95, 95, 70, 165
MAREEP, 55, 40, 40, 35, 65, 45, 56
FLAAFFY, 70, 55, 55, 45, 80, 60, 128
AMPHAROS, 90, 75, 75, 55, 115, 90, 225
BELLOSSOM, 75, 80, 85, 50, 90, 100, 216
MARILL, 70, 20, 50, 40, 20, 50, 88
AZUMARILL, 100, 50, 80, 50, 50, 80, 185
SUDOWOODO, 70, 100, 115, 30, 30, 65, 144
POLITOED, 90, 75, 75, 70, 90, 100, 225
HOPPIP, 35, 35, 40, 50, 35, 55, 50
SKIPLOOM, 55, 45, 50, 80, 45, 65, 119
JUMPLUFF, 75, 55, 70, 110, 55, 85, 203
AIPOM, 55, 70, 55, 85, 40, 55, 72
SUNKERN, 30, 30, 30, 30, 30, 30, 36
SUNFLORA, 75, 75, 55, 30, 105, 85, 149
YANMA, 65, 65, 45, 95, 75, 45, 78
WOOPER, 55, 45, 45, 15, 25, 25, 42
QUAGSIRE, 95, 85, 85, 35, 65, 65, 151
ESPEON, 65, 65, 60, 110, 130, 95, 184
UMBREON, 95, 65, 110, 65, 60, 130, 184
MURKROW, 60, 85, 42, 91, 85, 42, 81
SLOWKING, 95, 75, 80, 30, 100, 110, 172
MISDREAVUS, 60, 60, 60, 85, 85, 85, 87
UNOWN, 48, 72, 48, 48, 72, 48, 118
WOBBUFFET, 190, 33, 58, 33, 33, 58, 142
GIRAFARIG, 70, 80, 65, 85, 90, 65, 159
PINECO, 50, 65, 90, 15, 35, 35, 58
FORRETRESS, 75, 90, 140, 40, 60, 60, 163
DUNSPARCE, 100, 70, 70, 45, 65, 65, 145
GLIGAR, 65, 75, 105, 85, 35, 65, 86
STEELIX, 75, 85, 200, 30, 55, 65, 179
SNUBBULL, 60, 80, 50, 30, 40, 40, 60
GRANBULL, 90, 120, 75, 45, 60, 60, 158
QWILFISH, 65, 95, 75, 85, 55, 55, 86
SCIZOR, 70, 130, 100, 65, 55, 80, 175
SHUCKLE, 20, 10, 230, 5, 10, 230, 177
HERACROSS, 80, 125, 75, 85, 40, 95, 175
SNEASEL, 55, 95, 55, 115, 35, 75, 86
TEDDIURSA, 60, 80, 50, 40, 50, 50, 66
URSARING, 90, 130, 75, 55, 75, 75, 175
SLUGMA, 40, 40, 40, 20, 70, 40, 50
MAGCARGO, 50, 50, 120, 30, 80, 80, 144
SWINUB, 50, 50, 40, 50, 30, 30, 50
PILOSWINE, 100, 100, 80, 50, 60, 60, 158
CORSOLA, 55, 55, 85, 35, 65, 85, 133
REMORAID, 35, 65, 35, 65, 65, 35, 60
OCTILLERY, 75, 105, 75, 45, 105, 75, 168
DELIBIRD, 45, 55, 45, 75, 65, 45, 116
MANTINE, 65, 40, 70, 70, 80, 140, 163
SKARMORY, 65, 80, 140, 70, 40, 70, 163
HOUNDOUR, 45, 60, 30, 65, 80, 50, 66
HOUNDOOM, 75, 90, 50, 95, 110, 80, 175
KINGDRA, 75, 95, 95, 85, 95, 95, 143
PHANPY, 90, 60, 60, 40, 40, 40, 66
DONPHAN, 90, 120, 120, 50, 60, 60, 175
PORYGON2, 85, 80, 90, 60, 105, 95, 180
STANTLER, 73, 95, 62, 85, 85, 65, 163
SMEARGLE, 55, 20, 35, 75, 20, 45, 88
TYROGUE, 35, 35, 35, 35, 35, 35, 42
HITMONTOP, 50, 95, 95, 70, 35, 110, 159
SMOOCHUM, 45, 30, 15, 65, 65, 85, 61
ELEKID, 45, 63, 37, 95, 65, 55, 72
MAGBY, 45, 75, 37, 83, 70, 55, 73
MILTANK, 95, 80, 105, 100, 40, 70, 172
BLISSEY, 255, 10, 10, 55, 75, 135, 608
RAIKOU, 90, 85, 75, 115, 115, 100, 261
ENTEI, 115, 115, 85, 100, 90, 75, 261
SUICUNE, 100, 75, 115, 85, 90, 115, 261
LARVITAR, 50, 64, 50, 41, 45, 50, 60
PUPITAR, 70, 84, 70, 51, 65, 70, 144
TYRANITAR, 100, 134, 110, 61, 95, 100, 270
LUGIA, 106, 90, 130, 110, 90, 154, 306
HO-OH, 106, 130, 90, 90, 110, 154, 306
CELEBI, 100, 100, 100, 100, 100, 100, 270
